institution_slug,course_code,skill_name,confidence_score,mapping_source,rationale
bcit,COMP 1113,Data Analysis,0.64,manual,"Mathematics foundations support analytics and computational reasoning."
bcit,COMP 1510,Python,0.82,manual,"Foundational programming maps to Python skill gaps."
bcit,COMP 1537,JavaScript,0.93,manual,"Web development course teaches browser scripting and web technologies."
bcit,COMP 1537,React,0.55,keyword,"Frontend foundation supports later React learning."
bcit,COMP 1712,Project Management,0.71,manual,"Business analysis and system design support software planning skills."
bcit,COMP 1800,JavaScript,0.84,manual,"Team web application project applies JavaScript, HTML, and CSS."
bcit,COMP 1800,Project Management,0.76,manual,"Team project work builds planning and delivery skills."
bcit,COMP 2121,Data Analysis,0.62,manual,"Discrete mathematics supports algorithms and analytical reasoning."
bcit,COMP 2510,Python,0.72,keyword,"Procedural programming maps to general programming foundations."
bcit,COMP 2522,Python,0.67,keyword,"Object-oriented programming improves transferable programming ability."
bcit,COMP 2537,JavaScript,0.92,manual,"Advanced web development teaches dynamic frontend implementation."
bcit,COMP 2537,React,0.68,keyword,"Progressive web application work supports modern frontend frameworks."
bcit,COMP 2714,SQL,0.96,manual,"Relational database course directly teaches SQL and database design."
bcit,COMP 2721,DevOps,0.54,keyword,"Computer architecture supports infrastructure and systems understanding."
bcit,COMP 2800,Project Management,0.84,manual,"Advanced team project emphasizes lifecycle, delivery, and teamwork."
bcit,COMP 2800,Cloud Architecture,0.67,manual,"Project scope includes applying cloud computing to software goals."
bcit,COMP 3522,Python,0.62,keyword,"Advanced object-oriented programming strengthens general software development."
bcit,COMP 3717,SQL,0.62,manual,"Android development includes SQLite persistence and application data."
bcit,COMP 3721,DevOps,0.75,manual,"Networking concepts support systems operations and infrastructure roles."
bcit,COMP 3760,Python,0.66,keyword,"Algorithm design strengthens programming problem-solving skills."
bcit,COMP 4736,DevOps,0.82,manual,"Operating systems and concurrency map strongly to infrastructure skill gaps."
bcit,COMP 4989,Machine Learning,0.94,manual,"AI and machine learning topics directly address ML skill gaps."
bcit,COMP 9130,Machine Learning,0.9,manual,"Applied AI course directly supports AI and ML learning goals."
bcit,COMP 9150,DevOps,0.71,manual,"Cybersecurity for applied computing supports secure infrastructure operations."
ubc,CPSC_V 100,Python,0.58,keyword,"Computational thinking supports entry-level programming skill gaps."
ubc,CPSC_V 103,Python,0.73,manual,"Introductory systematic programming maps to Python foundations."
ubc,CPSC_V 110,Python,0.84,manual,"Computation and programming fundamentals support programming skill gaps."
ubc,CPSC_V 121,Data Analysis,0.62,manual,"Models of computation support analytical and algorithmic reasoning."
ubc,CPSC_V 203,Python,0.77,manual,"Modern programming and algorithmic problem solving map to Python practice."
ubc,CPSC_V 210,Python,0.72,keyword,"Software construction strengthens general programming and testing."
ubc,CPSC_V 213,DevOps,0.65,manual,"Computer systems concepts support operations and infrastructure learning."
ubc,CPSC_V 221,Python,0.64,keyword,"Algorithms and data structures improve coding skill depth."
